artist_name,artist_id,track_name,track_id
Wizkid,3tVQdUvClmAT7URs9V3rsp,2 Sugar (feat. Ayra Starr),1DA2ADZs6O28y2rmdmpekw
Masego,3ycxRkcZ67ALN3GQJ57Vig,Say You Want Me,1xTYy3K3hiTcoZfoD7culn
NxWorries,6PEMFpe3PTOksdV4ZXUpbE,Where I Go (feat. H.E.R.),3MlQPB0wJuopo3NTZGlMpI
SZA,7tYKF4w9nC0nq9CsPZTHyP,Shirt,34ZAzO78a5DAVNrYIGWcPm
Babyface,3aVoqlJOYx31lH1gibGDt3,Liquor (with Ari Lennox),0Phy2m1BWmxCB56byt2qvh
SiR,3QTDHixorJelOLxoxcjqGx,Nothing Even Matters,1pJsmr01tzKnFfjeCvzcdc
Beyoncé,6vWDO969PvNqNYHIOW5v0m,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS
Chlöe,1FtBEIWAwvw5ymBen5GICR,For the Night,6y39UI6gdUexBGprn6pQo6
Mariah the Scientist,7HO5fOXE4gh3lzZn64tX2E,Spread Thin,4MbzauKV2ydtZZjLsPcuTF
Mahalia,16rCzZOMQX7P8Kmn5YKexI,Bag Of You,3X7aFBB2ja4QT2XEuxKCIA
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,35ovElsgyAtQwYPYnZJECg
Ari Lennox,1vaQ6v3pOFxAIrFoPrAcom,Queen Space (with Summer Walker),2dOUErBzFZJ8l7MbV6FcYW
SAULT,1uRxRKC7d9zwYGSRflTKDR,Fight for Love,1LPQheJpIsG8rlUkCmZx2D
Wizkid,3tVQdUvClmAT7URs9V3rsp,Money & Love,3nIj7jkWVKKmmKPdhgrddu
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,ALL MINE,3XgGQ1wjo5khvq2UImjyNF
Jeremih,3KV3p5EY4AvKxOlhGHORLg,Changes,3noiPAHonb3coH4jSVM09i
dvsn,7e1ICztHM2Sc4JNLxeMXYl,Don't Take Your Love,35fBkyvLRrHKO4edE69LtA
Beyoncé,6vWDO969PvNqNYHIOW5v0m,PLASTIC OFF THE SOFA,6ufcuVInt0ocHrUimDjGlb
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Call Me Every Day (feat. Wizkid),0SSVi1ND8YAk5XpaHOePoo
