artist_name,artist_id,track_name,track_id
Zendaya,6sCbFbEjbYepqswM1vWjjs,Butterflies,1nV9EKNIAORTvadQ19jkik
J.Fla,2GbvMs4GBhcjd9d4N9sGUV,Shape of You,4M4h9xNOFpyDI3f2HZDXkg
Charli XCX,25uiPmTg16RbhZWAqwLBy5,Boys,5o4yGlG0PfeVUa6ClIyOxq
Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,Me Too,3KwwE4sgCzMaKWq6QBebmX
Tungevaag,49CE2ffZ6Z3zeYSDauSKck,Samsara (feat. Emila),04xLp87480JkyiHIiWgj8I
Cash Cash,1LOB7jTeEV14pHai6EXSzF,How to Love (feat. Sofia Reyes) - Boombox Cartel Remix,22S5BO6h7JIOjg2Uw88l8e
Fifth Harmony,1l8Fu6IkuTP0U5QetQJ5Xt,Worth It (feat. Kid Ink),41Fflg7qHiVOD6dEPvsCzO
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Havana (feat. Young Thug),0ofbQMrRDsUaVKq2mGLEAb
Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB
Tove Lo,4NHQUGzhtTLFvgF5SZesLK,Talking Body,4K2uH46kwmTFGjNlkeFuGI
Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,You're Such A,3QTDzwSkRW04FVPo6COm0H
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,New Rules,2ekn2ttSfGqwhhate0LSR0
Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,How Long,32DGGj6KlNuBr6WaqRxpxi
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,IDGAF,76cy1WJvNGJTj78UqeA5zr
Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Thunder / Young Dumb & Broke (with Khalid) - Medley,7ER7vcy7u2ajg5IV45WBFw
Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ
DNCE,6T5tfhQCknKG4UnH90qGnz,Cake By The Ocean,76hfruVvmfQbw0eYn1nmeC
Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,I Took A Pill In Ibiza - Seeb Remix,1MtUq6Wp1eQ8PC6BbPCj8P
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Side To Side,1pKeFVVUOPjFsOABub0OaV
Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,no tears left to cry,5SxkdsY1ufZzoq9iXceLw9
Lenka,5g3uG8zZZANGT6YOssgjfC,Trouble Is a Friend,0MAWbNUV19O14FZJYWg89o
Ingrid Michaelson,2vm8GdHyrJh2O2MfbQFYG0,Time Machine,3aR1FIPOWpQxo0sm6naVbK
Shivaree,34xAiSyQG6nlH0eZNLjbLW,Goodnight Moon,5jQPDVjgSGnNYl8G3H3qul
Saint Privat,7hrruNuPITt3N9zLMdbjGz,Poisson Rouge,73vUl3nSQf7SwSGDDkTKCd
Taylor Swift,06HL4z0CvFAxyc27GXpf02,The Story Of Us,19tHCfzUSoy5HkpxcmbA0A
Taylor Swift,06HL4z0CvFAxyc27GXpf02,I Knew You Were Trouble.,0ciHz919LVKoH4zgxyMPZ9
The Pretty Reckless,2R57sY41L9XvGPiIgHOaYq,Make Me Wanna Die,2opyAm6zOyjR0An5LkblfN
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Take A Picture,3cGFEZvzegmI9B7yZMCzq5
Troye Sivan,3WGpXCj9YhhfX11TToZcXP,My My My!,71T7xF5wLbDRg76jxAwDqA
Girls' Generation,0Sadg1vgvaPqGTOjxu0N6c,MR. TAXI (Original Title : Mr. Taxi),6BaZmJzvAtXx72MjSHSlbf
Girls' Generation,0Sadg1vgvaPqGTOjxu0N6c,Mr.Mr.,3JaMGQXJmtbAhvgl0nBPPN
Suzy,4U80LJd8sG6U9YTFP5izka,행복한 척 Pretend,2cOIDloNUHI8udXlT6dIMl
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,Bed (feat. Ariana Grande),1ZEm9cJC05rawV2tptNfTS
Iggy Azalea,5yG7ZAZafVaAlMTeBybKAL,Fancy,3oiMJQAWVaxSubJ7b2VUtX
Iggy Azalea,5yG7ZAZafVaAlMTeBybKAL,Black Widow,7pNC5ZIKtwUK0ReSpM3P9f
Kesha,6LqNN22kT3074XbTVUrhzX,Blah Blah Blah (feat. 3OH!3),7jmqSz6yTrGWI1kNqNYI28
Taylor Swift,06HL4z0CvFAxyc27GXpf02,Dancing With Our Hands Tied,7I7JbDv63ZJJsSi24DyJrz
Lorde,163tK9Wjr9P9DmM0AVK7lm,Green Light,3I4QOvltiKcMu3xmnQjEct
Skylar Grey,4utLUGcTvOJFr6aqIJtYWV,Wear Me Out,66JdS5gBeVQbFzFFC82Q1B
Catherine Zeta-Jones,5i4JbHYkeCa702YXS68RGf,Cell Block Tango,6ig2r8kFzCLLRbF6t7cli3
Britney Spears,26dSoYclwsYLMAKD3tpOr4,Gimme More,6ic8OlLUNEATToEFU3xmaH
Kaci Battaglia,7HCPm8AkZIqGjQdAJR2ltC,Body Shots,2FYrAXEClfsOYtk7B9lK8x
Tinashe,0NIIxcxNHmOoyBx03SfTCD,2 On (feat. ScHoolboy Q),3jVtllWS5CFFWLQng8sKsr
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Diet Mountain Dew,4O9dZs2B0ilk4PEfX2bPEv
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Off To The Races,5IyblF777jLZj1vGHG2UD3
Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Video Games,24jvD83UgLmrdGjhWTFslY
EXO,3cjEqqelV9zb4BYE3qDQ4O,CALL ME BABY,4jdiqVbH1eUwc4MzDV7GMu
Vanessa Carlton,5ILrArfIV0tMURcHJN8Q07,A Thousand Miles,4w1lzcaoZ1IC2K5TwjalRP
Hebe Tien,14bJhryXGk6H6qlGzwj3W5,寂寞寂寞就好,4LhAUjPqfLpBVNYEdPd5Go
Hebe Tien,14bJhryXGk6H6qlGzwj3W5,Contradiction,2b3IHKsCVeEO6T35tBPpuq
Hebe Tien,14bJhryXGk6H6qlGzwj3W5,He's Gone,2lmLoyUwFBWjzQbb4yiVjM
Hebe Tien,14bJhryXGk6H6qlGzwj3W5,You Better Not Think About Me,0mpo3w2SHXb3rsfepeG5Pr
Taylor Swift,06HL4z0CvFAxyc27GXpf02,I Did Something Bad,4svZDCRz4cJoneBpjpx8DJ
Halsey,26VFTg2z8YR0cCuwLzESi2,100 Letters,5EBvHC0SGFJDenBJafqOX4
Tori Kelly,1vSN1fsvrzpbttOYGsliDr,Hollow,160hN2OsDXnmgExwtG7cvD
Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,I Can't Fall in Love Without You,4VPXFi4vFTtS9wHe6oMQaT
Elle King,3bhu7P5PfngueRHiB9hjcx,Ex's & Oh's,70eDxAyAraNTiD6lx2ZEnH
The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Paris,15vzANxN8G9wWfwAJLLMCg
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Curiosity,2xrK7AOAWok7NY4WuqeApq
Carly Rae Jepsen,6sFIWsNpZYqfjUpaCgueju,Tonight I’m Getting Over You,471JtpRQ0oox9OoZcbB8OO
Taylor Swift,06HL4z0CvFAxyc27GXpf02,Red,1RvQQGwaPipiNgz8RXAKA8
Hebe Tien,14bJhryXGk6H6qlGzwj3W5,魔鬼中的天使,2chz9PENZPB0VYNH1TsfsN
Taylor Swift,06HL4z0CvFAxyc27GXpf02,Getaway Car,0VE4kBnHJUgtMf0dy6DRmW
