artist_name,artist_id,track_name,track_id,lyric,sentiment,sentiment_score
Wizkid,3tVQdUvClmAT7URs9V3rsp,2 Sugar (feat. Ayra Starr),1DA2ADZs6O28y2rmdmpekw,"Got a bag full of feeling
And a house full of regret
This baggage is confit no plane, don't mean to digress, hmm
I wanna know what's the reason why you moving slow?
If you move no dey cross my lane

Shori nonsense ma gbe sunmomi
Ma gbe sunmomi
If you get problem, ma gbe sunmomi
Ma gbe sunmomi
I dey fight my own demons, don't you see
Don't know, don't you see
If you get problem, ma gbe sunmomi
Ma gbe sunmomi

Oya mami jo, jogo, jogodo, mami go
And I no fit lie for you, mami oh, yo
Kolo, kopami oh
And me no dey love when them try me oh
Say my kind life no dey funny oh
Many things I sing fit don pami oh
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,96.27
Masego,3ycxRkcZ67ALN3GQJ57Vig,Say You Want Me,1xTYy3K3hiTcoZfoD7culn,"I seek the love drum (yeah)
I seek communion (oh, hmm, right there)
I need your ocean
I see your ocean
Your seas are militant (wait, there he go)

One dose then I'm bested
Almost, nearly missed it
One dose, finish it, ah, finish it, ah, finish it, ah
One dose then I'm bested (almost)
Almost, nearly missed it
One dose, finish it, ah, finish it, ah, finish it, ah

All night long I led you on
Can't stay for long
It's alright I'm moving on
And you wanna play on
When the sun go down
Call my name, oh, say you want me
I-I, when the sun go down
Oh, leave me lonely

Let me get lost in the night (oh, yeah)
Two years I been suffering
But I fought for you right (oh, yeah)
I never wanna see the day that I'm not in ya light
In case, I'm on my way
S.O.S., I'm on my way
It's alright, I'm on my way, I'm on my way like
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,75.14
NxWorries,6PEMFpe3PTOksdV4ZXUpbE,Where I Go (feat. H.E.R.),3MlQPB0wJuopo3NTZGlMpI,"She wanna know where I've been
And who I seen
She wanna know where I'm goin'
And can we meet?
She say I'm so terrible
But this is me
I love her from head to toe
And in between

I know we do a lot of back and forth
I know we do a lot of fast and slow
I know I'm gon' contradict myself
I know you gon' ride the dick like a pro
I know you got a lot of faith in me
I know you put a lot of things on hold
I hope you got a policy, yeah, yeah
You know you got a lock on the whole thing

Look
I had to tell you somethin', tell you somethin' before you go
I left a lil' somethin' special in the envelope
I had to mail you somethin', tell me when it's at the door
And when you open it, I hope you get hysterical
I had to share it with somebody that I really trust
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,98.22
SZA,7tYKF4w9nC0nq9CsPZTHyP,Shirt,34ZAzO78a5DAVNrYIGWcPm,"Kiss me, dangerous
Been so lost without you all around me
Get anxious
Lead me, don't look back, it's all about you

In the dark right now
Feeling lost, but I like it
Comfort in my sins, and all about me
All I got right now
Feel the taste of resentment
Simmer in my skin, it's all about

Blood stain on my shirt, new bitch on my nerves
Old nigga got curved, going back on my word
Damn, bitch, you so thirsty
Still don't know my worth, still stressing perfection
Let you all in my mental, got me looking too desperate
Damn, you ain't deserve

...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,97.87
Babyface,3aVoqlJOYx31lH1gibGDt3,Liquor (with Ari Lennox),0Phy2m1BWmxCB56byt2qvh,"Two (two) shots (shots) of liquor, no chaser
No rocks, no blend, straight up, just you
Two (two) shots (shots) of liquor, oh, oh (oh, oh)
I need one hundred from my man, he can't be eighty proof
When he ask me throw it back, I tell him absolutely, oh, oh

I wanna feel like I'm wasted, from the lips that I tasted
I want our love to be agin' with time, more vintage than wine, so smooth
I like it rough around the edges, picture perfect with no edits
A little hard, but he romantic
Need someone who understands me, yeah
I wanna know where the real ones rеside, 'cause I need

Two (two) shots (shots) of liquor, no chaser
No rocks, no blеnd, straight up, just you
Two (two) shots (shots) of liquor, oh, oh (said, baby, I need)
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,87.92
SiR,3QTDHixorJelOLxoxcjqGx,Nothing Even Matters,1pJsmr01tzKnFfjeCvzcdc,"I don't know where to start, maybe your heart
I can feel it beatin', hopin' to be the rhyme or reason
Oh, you make me wanna be a better man
I'm getting stronger than I've ever been

Making a connection with your perfect imperfections
Break it down at your discretion, if it's under my protection
Your ebony complexion, I would die for your affection
You keep giving me direction
Baby, this is my confession, oh-ooh

I can't get enough
Hard to believe I even found your love
Diamond in the rough
Light up the dark like the fire I'm sparkin' up
Baby, when we touch
Nothing even matters
No one loves me better
I want this forever, oh-ooh

I can't get enough
Can't even picture my life without my girl
Diamond in the rough
Shine any brighter and you might save the world
Baby, when we touch
Nothing even matters
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,97.99
Beyoncé,6vWDO969PvNqNYHIOW5v0m,CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,"I feel like falling in love (falling in love)
I'm in the mood to roll something up (tonight I'm rolling something up, baby)
I need some drink in my cup (I need a drink), hey (pour me a drink)
I'm in the mood to pour something up (I'm in the mood to pour something up)

I wanna go missing, I need a prescription
I wanna go higher, can I sit on top of you? (Oh-la-la-la-la)
I wanna go where nobody's been (I wanna go where nobody's been)
Have you ever had fun like this? (Have you ever had fun like this?) oh, woah

We gon' roll up tonight, black lights
Spaceships fly (spaceships fly), yeah
Unapologetic when we pull up tonight (roll it up, roll it up), pull up tonight
We gettin' poured up tonight
We gon' pull up tonight

Bet you you'll see far
Bet you you'll see stars
Bet you you'll elevate
Bet you you'll need God
'Cause I feel like falling in love
I'm in the mood to pour something up
'Cause we gon' roll up tonight

What's in these four walls? You sexy, my love (turn it up)
Don't miss this roll call, is you here or what? (Roll it up), yeah
Show up, show up (show up, show up), pour up, pour up (pour up, pour up), oh
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,99.09
Chlöe,1FtBEIWAwvw5ymBen5GICR,For the Night,6y39UI6gdUexBGprn6pQo6,"I feel like falling in love (falling in love)
I'm in the mood to roll something up (tonight I'm rolling something up, baby)
I need some drink in my cup (I need a drink), hey (pour me a drink)
I'm in the mood to pour something up (I'm in the mood to pour something up)

I wanna go missing, I need a prescription
I wanna go higher, can I sit on top of you? (Oh-la-la-la-la)
I wanna go where nobody's been (I wanna go where nobody's been)
Have you ever had fun like this? (Have you ever had fun like this?) oh, woah

We gon' roll up tonight, black lights
Spaceships fly (spaceships fly), yeah
Unapologetic when we pull up tonight (roll it up, roll it up), pull up tonight
We gettin' poured up tonight
We gon' pull up tonight

Bet you you'll see far
Bet you you'll see stars
Bet you you'll elevate
Bet you you'll need God
'Cause I feel like falling in love
I'm in the mood to pour something up
'Cause we gon' roll up tonight

What's in these four walls? You sexy, my love (turn it up)
Don't miss this roll call, is you here or what? (Roll it up), yeah
Show up, show up (show up, show up), pour up, pour up (pour up, pour up), oh
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",None,0.0
Mariah the Scientist,7HO5fOXE4gh3lzZn64tX2E,Spread Thin,4MbzauKV2ydtZZjLsPcuTF,"And now I cannot trust you
And I'm forced to let you go
That's what spreading thin on us do
Hate to see you lose control

Now I must spend all my time thinking of all your lies and cover ups
You're switching up on everyone who loves you
But that doesn't stop the show and I think you should know that

Baby, you're the reason
You always think the only one who needs any attention is you
Don't be so conceited
Hope you learned honesty was the only thing that could keep me from leaving

...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,74.29
Mahalia,16rCzZOMQX7P8Kmn5YKexI,Bag Of You,3X7aFBB2ja4QT2XEuxKCIA,"Oh-oh
Yeah, yeah, yeah, oh

Coffee
And a morning kiss for breakfast
Eye-to-eye, you're playing with my necklace
My God, that smile is so infectious

Baby, baby, I don't
I don't wanna think about it
When you're not there laying on my couch, yeah
I hear the silence getting louder (louder) and louder (louder)

I'm sorry if I come off like I'm needy
All I need to know is that you need me
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,93.0
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,35ovElsgyAtQwYPYnZJECg,"Lift me up
Hold me down
Keep me close
Safe and sound

Burning in a hopeless dream
Hold me when you go to sleep
Keep me in the warmth of your love
When you depart, keep me safe
Safe and sound

Lift me up
Hold me down
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,93.13
Ari Lennox,1vaQ6v3pOFxAIrFoPrAcom,Queen Space (with Summer Walker),2dOUErBzFZJ8l7MbV6FcYW,"Oh-oh-oh-oh, ooh
Yeah, hey, hey

There's one thing we should speak on
This royalty you're seeking
Don't have a problem even (no-o-o, no-o-o)
There's something I am sure of
I deserve something purer
My love is a privilege (yeah)

I guess you can't take confrontation
Well, I ain't got time
It's so good when everything going your way
But what about mine?

So
Don't waste my queen space
True elevation, when I let you taste
Let it rearrange the way you think
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,94.67999999999999
SAULT,1uRxRKC7d9zwYGSRflTKDR,Fight for Love,1LPQheJpIsG8rlUkCmZx2D,"Oh-oh-oh-oh, ooh
Yeah, hey, hey

There's one thing we should speak on
This royalty you're seeking
Don't have a problem even (no-o-o, no-o-o)
There's something I am sure of
I deserve something purer
My love is a privilege (yeah)

I guess you can't take confrontation
Well, I ain't got time
It's so good when everything going your way
But what about mine?

So
Don't waste my queen space
True elevation, when I let you taste
Let it rearrange the way you think
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",None,0.0
Wizkid,3tVQdUvClmAT7URs9V3rsp,Money & Love,3nIj7jkWVKKmmKPdhgrddu,"Yeah

Nobody like me, 'body like me
Baby, when I pull up, put you all in my jeans
Big lollipop, baby lick like ice cream
Big bad wiz, Mr. Shift-Your-Panties
Fuck you to Buju Banton or Buju Benson
Girl, any record, girl, I go make you sing
Kneel, she dey pray for the kokomicin
I got the holy water, baby, make you come swim

My pocket full of money, oh
My heart dey full of love, oh, oh, oh
Nobody beat am for the dancer, no
Fine lady she dey bounce along
Skin tight for your body, yeah
What you dey want na hin I want to know
Don't stop, make you drag me on
What you dey on na hin I want take on

Now pami, oh, lomi, oh
Burn that spliff, be your Romeo
Wa lomi, oh, ragabomi, oh
Got your back, wa sun bi, oh
Ja sungba, oh, omo jupa, oh
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,93.12
Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,ALL MINE,3XgGQ1wjo5khvq2UImjyNF,"Yeah
It's all mine (yeah)
Yeah

You know how it feels (yeah)
All mine, all mine (yeah)
All mine, all mine, all mine (yeah)
(It's all mine)
All mine, all mine (yeah)
All mine, all mine, all mine (yeah)
Baby, let's keep it real

We both still young, so what's the rush?
The night is young and we not drunk enough
You'll come around if I don't do too much
We had our downs but we had way more ups
Let's make love
That be the reason that you always hit me up (I swear)
You like the way I f- 'cause I get rough
You told me yo' new man don't make you -, that's a - shame
You come here, I'll knock yo' - out the damn frame
'Member that last time I made you miss your - plane
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,81.6
Jeremih,3KV3p5EY4AvKxOlhGHORLg,Changes,3noiPAHonb3coH4jSVM09i,"How am I supposed to miss you every night?
How you left me standin' in the rain?
How you gonna forget all the things we did in one argument
Then (sound) change, baby? (Hitmaka)

Changin' up the tempo ('po)
You been on my mental ('tal)
If I could keep you, I would keep it there (there)
We be vibin' like you never left, yeah (yeah, yeah)
There's damn too much to handle, yeah
But you gave me what I asked for (for), yeah
'Cause I told you that I wanted space (space)
Yeah, but you didn't have to pump the brakes, mm-hmm

How am I supposed to miss you every night? (Night)
How you left me standin' in the rain? (Rain)
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,52.23
dvsn,7e1ICztHM2Sc4JNLxeMXYl,Don't Take Your Love,35fBkyvLRrHKO4edE69LtA,"I, I, I, I should've told you
(Don't take your love from me)

Why didn't I just listen? (That)
Why you said you needed me the most, I just went missin'?
Why didn't I pay attention to my intuition? (That)
Because I know you, I know you, I know you and
I can feel you slippin' (that)
Like that time you hinted
That niggas got you on they hit list
Did you just think I missed it? (That)
I played that in my mind like 30 thousand times, I just wasn't bright

Why you bringin' up other niggas (that)
When I ain't out here bringin' up other bitches?
Sorry, no other women
This is you and me shit
This is about treatment
This is mostly recent
So, don't you take, baby (don't take your love from me)

I, I, I, I should've told you
I, I, I, I, I should've showed you (that)
Time and focus, but I didn't
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,88.02
Beyoncé,6vWDO969PvNqNYHIOW5v0m,PLASTIC OFF THE SOFA,6ufcuVInt0ocHrUimDjGlb,"Boy, I know you can't help but to be yourself 'round me, yourself 'round me, no
And I know nobody's perfect, so I'll let you be, I'll let you be
It's the way you wear your emotions on both of your sleeves, ah
To the face you make when I tell you that I have to leave, uh

But I like it, baby
I like it, baby
But I like it, baby, baby
But I like it, baby

Ah, we don't need the world's acceptance
They're too hard on me, they're too hard on you, boy
I'll always be your secret weapon in your arsenal, your arsenal
And I know you had it rough growing up but that's okay (that's okay, baby), I like it rough (that's okay, baby)
Even when you let your feeling get in the way (let your feelings get in the way)
I still like it, baby
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,98.29
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Call Me Every Day (feat. Wizkid),0SSVi1ND8YAk5XpaHOePoo,"(O', Obah)

Come rewind oh (rewind oh)
Girl, I got the money wey fit make you mine o
Give you lovin' every night, fit make you mad oh (mad oh)
Na only you gimme love wey make me nice oh, nice oh, nice oh
Haffi make you mine oh (mine oh)
Girl, I love you, plus I'll never make you minus
If I let you smoke, is you gon' lose my lighter?
If you paranoid, then I'ma spend the night

You talkin' that lovin' every day (every day)
Tell me nicely, if na money, I go pay (pay)
For your love, I go pay on
E dey make e man dey chase on, uh
I fit no dey call you every day
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,95.09
Oxlade,3WTrdbZU99dgTtt3ZkyamT,KU LO SA - A COLORS SHOW,2WigMwGJysIh9fRnSJvpjn,"Yeah, yeah
Yeah, yeah, yeah, oh-oh
Uh lo

So many reason wey I wan dey for you my love
Na you I wan to retire with my love oh
See all the likkle things you do dey make me nor nor
This distance is taking a hold on me for sure
Baby come closer oh

Omo I want make we dey (ku lo sa)
Uhh, girl, I wan make you (ku lo sa)
O lo lo, I for like make you-u-u (ku lo sa) u-u-u oh-no (ku lo sa)

Omo I want make we dey (ku lo sa)
O lo lo
Girl, I want make you (ku lo sa)
Oh, no, no
I for like make you (pull over)
Pull over, omo pull over (ku lo sa, oh)

...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,97.32
Muni Long,7tjVFCxJdwT4NdrTmjyjQ6,The Words,5HMl6aG4uTWFo8TZvJ7pfn,"When we first met
I would've never guessed
You would be my ex
Oh, we had some good times
I was yours and you were mine
Oh, now I'm cryin' every night
I wanna make it right

If I could turn back time
I would go back to the night
You hurt me first
And I would kiss you right before you said the words, the words
The words that broke up our forever
The reason why we're not together (oh-oh)

The words, the words, the words (the words)
The words (the words)
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,12.8
Jessie Reyez,3KedxarmBCyFBevnqQHy3P,FOREVER (with 6LACK),2lVYLiHGIX6GajMqYXF1Un,"Oh, somebody
Oh, somebody
Oh, somebody
Oh, somebody

Passwords
That means you love me, I can give you what you ask for
Say you need a shooter, I can do it from the half-court
I can change your life up, painting murals on your passport (Louie)
Future kids all on the dashboard

Ooh
I like every flaw I see in you
This is all new
But I hope I got what you need too
(I hope I got what you need)

'Cause sometimes somebody loves somebody
But that body don't love 'em back
And it's easy to say that you didn't know
You didn't know what you had
But you don't, you're educated
You know that they don't make 'em
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,94.67999999999999
Sonder,2ICR2m4hOBPhaYiZB3rnLW,Make Me Stay,3REQkt60mafExNVnJehMdL,"Stop calling your friends and sayin' you got one
While you at it, call a doctor
You outta pocket, you need to stop it
You saw me at the club and it was sorta poppin'
But don't make no-

Don't make no mistakes
You can't have your way
Fuck that shit you think
You can't make me stay
Don't make no-
Don't make no mistakes
You can't have your way
Fuck that shit you think
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Negative,97.74000000000001
Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Under The Influence,5IgjP7X4th6nMNDh4akUHb,"Kiddo, Kiddo
K-Kiddominant on the beat, better run it back

Fuckin' Robitussin
I don't know why this shit got me lazy right now, yeah
Can't do Percocets or Molly
I'm turnin' one, tryna live it up here right, right, right

Baby, you can
Ride it, ooh yeah
Bring it over to my place
And you be like, ""Baby, who cares?""
But I know you care
Bring it over to my place

You don't know what you did, did to me
Your body lightweight, speaks to me
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,77.98
Summer Walker,57LYzLEk2LcFghVwuWbcuS,Karma,2Fyjjpg03fn7n5cj0Qm380,"I told you, you better stay prayed up
You never thought the universe be looking for revenge

You can't keep just doing them girls like that
Thinking that nobody finna bite back
Losing your mind baby
Can't be sure, time's wasting

Nice to meet you, I'm sorry
I'm just here to do my job
Nice to meet you, no running
Please don't fear me, I'm just karma

Let me dance for you, I'm sorry
You'll wanna love me strong, then I'm gone
This feeling's just for you and your wrongs
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,77.2
Alex Vaughn,24S5IyzXICyGscL4vYshdq,So Be It,4QzljsoizfscCExqa1CDWN,"Say that I don't miss you but I do
Say that I don't care, that's not the truth
Ignore my intuition once again
All for me to say you're still my friend
Seems like everybody knows but me
Didn't even know you moved up right the street
All the things you said we wouldn't be (be, be, be)

So be it
It's been a hard time adjusting
So be it
Instead of lettin' me know, you kept secrets
But if I cut you this deep, you'd be in pieces
If that's how you really feel, then so be it

So be it, so be it
If that's who you are, then so be it
So be it
So be it
So be it
...

******* This Lyrics is NOT for Commercial use *******
(1409622883590)",Positive,31.869999999999997
